Zone,Différences_populations,Protéines_animales_pourcent,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour)
Albanie,-0.0,53.0,3360.0,115.74
Algérie,2.0,27.0,3322.0,91.83
Allemagne,0.6,61.0,3554.0,105.4
Arabie saoudite,1.7999999999999998,38.0,3307.0,86.94
Argentine,1.0,65.0,3307.0,106.77
Australie,1.3,67.0,3391.0,105.94
Autriche,0.8,60.0,3695.0,109.12
Azerbaïdjan,1.0999999999999999,34.0,3149.0,94.42
Belgique,0.5,59.0,3769.0,99.87
Canada,0.8999999999999999,54.0,3566.0,104.12
Danemark,0.3,68.0,3401.0,117.08
Espagne,0.1,62.0,3322.0,107.55
Estonie,0.3,62.0,3247.0,105.38
Finlande,0.2,64.0,3343.0,117.99
Grèce,-0.4,56.00000000000001,3382.0,108.16
Iran (République islamique d'),1.4000000000000001,28.999999999999996,3087.0,85.73
Irlande,1.4000000000000001,61.0,3885.0,117.58
Islande,0.8999999999999999,72.0,3654.0,146.13
Israël,1.7000000000000002,59.0,3528.0,126.94
Italie,-0.1,53.0,3503.0,106.56
Koweït,2.0,49.0,3471.0,103.21
Lituanie,-1.5,62.0,3411.0,126.65
Luxembourg,2.0,62.0,3465.0,108.65
Malte,0.2,56.99999999999999,3420.0,116.4
Maroc,1.3,27.0,3412.0,101.08
Monténégro,0.0,61.0,3500.0,114.53
Norvège,0.8,60.0,3371.0,113.43
Ouzbékistan,1.6,38.0,3011.0,93.27
Pays-Bas,0.2,65.0,3297.0,106.69
Pologne,-0.1,55.00000000000001,3537.0,105.59
Portugal,-0.3,64.0,3480.0,116.95
Roumanie,-0.8,49.0,3581.0,109.24
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,0.6,56.00000000000001,3344.0,103.92
Suède,0.7000000000000001,64.0,3184.0,105.56
Tunisie,1.2,28.999999999999996,3450.0,99.82
Turquie,1.5,36.0,3711.0,110.68
Viet Nam,1.0,40.0,3025.0,98.58
Égypte,2.1,27.0,3292.0,97.52
Émirats arabes unis,1.5,46.0,3314.0,110.26
États-Unis d'Amérique,0.6,65.0,3782.0,113.74
